,Job Title,Company,Location,Requirements,Years of Experience,Tags,Link
406,Data Scientist - 2,24 7 ai,Bangalore,"Good to have exposure to conversational AI, AI-based question-answering systems, AI-bas...",4-8 Yrs," learning, Python, TensorFlow Extended, Natural Language, C, Azure, AI, communication",https://www.naukri.com/job-listings-data-scientist-2-24-7-customer-private-ltd-bangalore-bengaluru-4-to-8-years-021122501258
407,Data Scientist - Looking For Immediate Joiners,Wipro,Multiple,PhD / Masters in Computer Science / Statistics / Economics / Operations Research 5+ yea...,5-10 Yrs," Data Science, Predictive Modeling, Recommendation Engine, Time Series, Python, Predictive Analysis, SAS, analytical",https://www.naukri.com/job-listings-data-scientist-looking-for-immediate-joiners-wipro-limited-hyderabad-secunderabad-bangalore-bengaluru-5-to-10-years-011122013529
408,Data Scientist,Applied Materials,Bangalore,Good knowledge in statistics and math in deep understanding on ML algorithms and their ...,4-7 Yrs," deep learning, data science, Machine learning, Cloud, Data collection, Programming, big data, AWS",https://www.naukri.com/job-listings-data-scientist-applied-materials-india-private-limited-bangalore-bengaluru-4-to-7-years-311022501616
409,FTE - Regional BI - Data Scientist,Schneider Electric,Bangalore,"Knowledge of Big Data AWS technologies (S3, RedShift) is preferredExperience in providi...",3-5 Yrs," Computer science, SAP, data science, Oracle SQL, Neural networks, Machine learning, Business solutions, big data",https://www.naukri.com/job-listings-fte-regional-bi-data-scientist-schneider-electric-india-pvt-ltd-bangalore-bengaluru-3-to-5-years-290422501874
410,Big data Manager,Seven Consultancy (HR Solution),Bangalore,"Hands-on experience with the Hadoop stack HDFS, sqoop, kafka, Pulsar, NiFi, Spark, Spar...",4-8 Yrs," data services, data science, data security, big data analytics, cassandra, Consulting, Hadoop, Programming",https://www.naukri.com/job-listings-big-data-manager-seven-consultancy-hr-solution-bangalore-bengaluru-4-to-8-years-290322500325
411,Data Analytics Manager,Seven Consultancy (HR Solution),Bangalore,JOB DETAILS 1.Lead and develop a team of Data Analysts. 2.Build and maintain relationsh...,4-8 Yrs," Executive leadership, Data analysis, data science, big data analytics, Process improvement, Data collection, Consultancy, microsoft",https://www.naukri.com/job-listings-data-analytics-manager-seven-consultancy-hr-solution-bangalore-bengaluru-4-to-8-years-290322500315
412,Data Analytics - Credit Bureau Data,Seeburger,Multiple,Proficient in coding using SAS OR Python Strong banking domain knowledge - Loans / Cred...,3-5 Yrs," Loans, Computer vision, deep learning, data science, SAS, Coding, Analytical, Machine learning",https://www.naukri.com/job-listings-data-analytics-credit-bureau-data-seeburger-india-private-limited-mumbai-pune-bangalore-bengaluru-3-to-5-years-080822500453
413,Associate Manager MLOps - Data Bricks,Tredence,Bangalore,"Project Management: team leading experience of at least 5 years, client interaction and...",5-7 Yrs," Data management, data science, GCP, Project management, Analytical, Artificial Intelligence, Machine learning, Data analytics",https://www.naukri.com/job-listings-associate-manager-mlops-data-bricks-tredence-analytics-solutions-private-limited-bangalore-bengaluru-5-to-7-years-121022500842
414,Data Analyst/Data Scientist- Automotive Domain,Verolt Engineering,Multiple,Role Description Role: Data ScientistDepartment: Automotive software Education : Gradua...,3-6 Yrs," data analysis, IT Skills, Python, Data Science, Machine Learning, Artificial Intelligence, Cloud, Big Data",https://www.naukri.com/job-listings-data-analyst-data-scientist-automotive-domain-verolt-engineering-private-limited-hyderabad-secunderabad-pune-bangalore-bengaluru-3-to-6-years-151122009566
415,Data Scientist-Lead Data Analyst,Adecco India Private Limited   ,Hyderabad,Timing: Rotational Shift (WFO) Strong experience collaborating with non-data stakeholde...,5-9 Yrs," python, data science, Tableau, SQL, Looker, advanced analytics",https://www.naukri.com/job-listings-data-scientist-lead-data-analyst-adecco-india-private-limited-hyderabad-secunderabad-5-to-9-years-081122011256
416,Business Analyst - Data and Analytics,Schneider Electric,Bangalore,SQL knowledge - good to have Data analytics knowledge - good to have Good communication...,2-5 Yrs," SIDE, Business Analyst, Design review, Time management, Analytical, Data analytics, Oracle, SQL",https://www.naukri.com/job-listings-business-analyst-data-and-analytics-schneider-electric-india-pvt-ltd-bangalore-bengaluru-2-to-5-years-021222501183
417,Senior Statistician Big data,Seven Consultancy (HR Solution),Hyderabad,"Must have exposure in Time Series, Python-Flask and deployment skills of deploying deve...",5-10 Yrs," Computer science, deep learning, data science, big data analytics, Machine learning, API Testing, power bi, Database Administrator",https://www.naukri.com/job-listings-senior-statistician-big-data-seven-consultancy-hr-solution-hyderabad-secunderabad-5-to-10-years-290322500329
418,Data Governance Lead - Sr. Manager Level,Talent Et Au-dela,Pune,Joining a rapidly growing organization with an environment that fosters personal and pr...,12-16 Yrs," data science, Project management, Analytical, data governance, Manager Technology, Healthcare, Data quality, Data analytics",https://www.naukri.com/job-listings-data-governance-lead-sr-manager-level-talent-et-au-dela-pune-12-to-16-years-021122501976
419,Data Scientist,Fundnel,Mumbai,"Bachelor or Masters in Computer Science, Statistics, Mathematics, Economics, or any oth...",3-5 Yrs," Mining, Logistic regression, Financial statements, data science, Data modeling, Machine learning, Data mining, Monitoring",https://www.naukri.com/job-listings-data-scientist-fundnel-limited-mumbai-3-to-5-years-291122502863
420,Data Scientist,Reed Elsevier India (a Part Of Relx India,Multiple,Have a Bachelors education with two to five years of experience,2-5 Yrs," Health insurance, data science, Coding, Machine learning, Manager Technology, Healthcare, Open source, Analytics",https://www.naukri.com/job-listings-data-scientist-reed-elsevier-india-a-part-of-relx-india-pvt-ltd-chennai-bangalore-bengaluru-2-to-5-years-211122501103
421,Lead Data Scientist - Predictive Modeling,TransOrg Analytics,Multiple,"Bachelors in Computer Science, Engineering, Statistics, Maths or related quantitative d...",4-9 Yrs," Predictive Modeling, Data Science, Data Scientist, Data Management, Data Mining, Python, SQL",https://www.naukri.com/job-listings-lead-data-scientist-predictive-modeling-transorg-analytics-gurgaon-gurugram-delhi-ncr-4-to-9-years-261122907470
422,Data Scientist,Prithvi Technologies,Temp. WFH,Ability to perform data cleansing and work with technical and non-technical stakeholder...,8-13 Yrs," Data Science, algorithm development, machine learning, statistical programming, artificial intelligence, deep learning, python, linear regression",https://www.naukri.com/job-listings-data-scientist-prithvi-technologies-pune-8-to-13-years-181022007755
423,Data scientist,Tata AIA Life Insurance,Mumbai,Must Have - Master s Degree in Statistics/ Engineering and / or full-time specific cour...,8-13 Yrs," data science, advanced analytics, algorithms, statistical analytics, data visualization, statistics",https://www.naukri.com/job-listings-data-scientist-tata-aia-life-insurance-company-ltd-mumbai-8-to-13-years-291122915758
424,Data Scientist - Artificial Intelligence/Machine Learning,Ushyaku Software Solutions,Gurgaon,"Masters- degree in operations research, applied statistics, data mining, machine learni...",2-4 Yrs," Artificial Intelligence, Machine Learning, Alteryx, PythonSQL, troubleshooting, R, analytical, Python",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-machine-learning-ushyaku-software-solutions-gurgaon-gurugram-2-to-4-years-281122907026
425,Data Scientist,Wolters Kluwer,Multiple,"Dive deep into data, doing analysis, and discovering patterns/root causes. Generate ins...",3-5 Yrs," Training, Compliance, data science, VLOOKUP, Legal, Issue resolution, Data quality, Advanced Excel",https://www.naukri.com/job-listings-data-scientist-wolters-kluwer-financial-services-kalyani-pune-3-to-5-years-281122503351
426,Hiring For DATA Scientist @ NTT DATA Business Solution India,NTT DATA Business Solutions Private Limited,Multiple,"Dear All, We have urgent requirement for Data Science @ NTT DATA Business Solution.Noti...",4-9 Yrs," Data Science, Artificial Intelligence, Machine Learning, data factory, Databricks, C, Pytorch, CNTK",https://www.naukri.com/job-listings-hiring-for-data-scientist-ntt-data-business-solution-india-ntt-data-business-solutions-private-limited-noida-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-mumbai-all-areas-4-to-9-years-221122913792
427,Data Scientist -II,SuccessR Hrtech Pvt Ltd,Temp. WFH,You should be passionate about working with data sets and be someone who loves to bring...,2-5 Yrs," Data Science, Pytorch, Tensorflow, NLP, No SQL, Machine Learning, Deep Learning, Python",https://www.naukri.com/job-listings-data-scientist-ii-successr-hrtech-pvt-ltd-bangalore-bengaluru-2-to-5-years-181122906300
428,ML / Data Scientist,Gibots,Pune,The candidate should have a Bachelor s Degree 2 years of experience in ML / Data Scienc...,0-2 Yrs," analysis, PyTorch, analytical, ML, software architecture, Data Science, communication, Python",https://www.naukri.com/job-listings-ml-data-scientist-gibots-pune-0-to-2-years-181022501324
429,Data Scientist,Multi Recruit,Bangalore,2+ years experience in data science and consultingGood to have: - Experience in the Hea...,1-4 Yrs," Data Science, Pyspark, Customer Segmentation, Python, SQL, Agile way, data scraping, PowerPoint",https://www.naukri.com/job-listings-data-scientist-multi-recruit-bangalore-bengaluru-1-to-4-years-211122012427
430,Principal Data Scientist,Novartis,Hyderabad,"Experience with good data science practices (version control, unit testing, CI / CD, et...",7-11 Yrs," Data analysis, Automation, data science, Machine learning, Clinical trials, clinical development, Application development, Operations",https://www.naukri.com/job-listings-principal-data-scientist-novartis-healthcare-pvt-ltd-hyderabad-secunderabad-7-to-11-years-171122502059
431,Data Analyst,Cargill,Bangalore,Bachelor s degree in a related field or equivalent experience Other minimum qualificati...,3-5 Yrs," database design development, data analysis, data analytics, data mining, data segmentation, Data Analyst",https://www.naukri.com/job-listings-data-analyst-cargill-india-pvt-ltd-bangalore-bengaluru-3-to-5-years-291122915078
432,Data Analyst,Cargill,Bangalore,Bachelors degree in a related field or equivalent experience Proficiency with reporting...,2-4 Yrs," database design, data analytics, SAP, Data management, Power BI, Alteryx, data visualization, Tableau",https://www.naukri.com/job-listings-data-analyst-cargill-india-pvt-ltd-bangalore-bengaluru-2-to-4-years-291122914429
433,Data Analyst,Cointab Software,Multiple,Job Description-We are a rapidly growing SaaS Software Company looking for a Data Analy...,0-2 Yrs," data analysis, Python, Financial Reporting, Financial Research, VLOOKUP, Node.Js, Advanced Excel, Data Analytics",https://www.naukri.com/job-listings-data-analyst-cointab-software-private-limited-mumbai-suburban-mumbai-all-areas-0-to-2-years-071122001529
434,Analyst - Data Intelligence Group,TresVista Financial,Multiple,Preferably for tier 1 engineering college Experience in the analytics domain will be an...,0-1 Yrs," Computer science, Industry research, Fund administration, power bi, Data analytics, DBMS, QlikView, Operations",https://www.naukri.com/job-listings-analyst-data-intelligence-group-tresvista-financial-mumbai-pune-bangalore-bengaluru-0-to-1-years-070222501472
435,Senior Data Scientist,Maruti Techlabs Pvt Ltd,Ahmedabad,"Good to have knowledge of MLOps pipelines working to support development, experimentati...",4-9 Yrs," Data Scientist, Artificial Intelligence, Natural Language Processing, Ml Algorithms, Machine Learning, Deep Learning, R, data science",https://www.naukri.com/job-listings-senior-data-scientist-maruti-techlabs-pvt-ltd-ahmedabad-4-to-9-years-221122014411
436,Senior Data Scientist - R/Python,MNR Solutions Private Limited,Dubai,Experience in using cloud data platform solutions (ie Experience in building & deploy l...,5-7 Yrs," Python, data science, Snowflake, cloud data, R, Google Big Query, Data Bricks, SQL",https://www.naukri.com/job-listings-senior-data-scientist-r-python-mnr-solutions-private-limited-dubai-5-to-7-years-211122907507
437,Analyst - Data Engineer,Dotdash Meredith,Bangalore,"Experience in ETL tasks like extracting data from multiple sources, join multiple table...",1-2 Yrs," Analyst, Database marketing, GIT, Linux, data science, Machine learning, Scheduling, Analytics",https://www.naukri.com/job-listings-analyst-data-engineer-meredith-corporation-bangalore-bengaluru-1-to-2-years-210622500690
438,Senior Data Scientist,Intelligent Image Management,Kolkata,Minimum 5+ years experience with big data technologies and machine learningStrong profi...,5-8 Yrs," data scientist, python, R, node.js, data science, AI, Research, Tableau",https://www.naukri.com/job-listings-senior-data-scientist-intelligent-image-management-kolkata-5-to-8-years-241122005787
439,Senior Data Analyst,Malabar Group,Mumbai,"Strong Values: Adhere to ethical practices, earn trust and build strong relationships Q...",6-8 Yrs," Data Management, data analysis, market research, Data Analytics, business tools",https://www.naukri.com/job-listings-senior-data-analyst-malabar-group-mumbai-all-areas-6-to-8-years-281122005554
440,Data Analytics Manager,Seven Consultancy (HR Solution),Mumbai,JOB DETAILS 1.Lead and develop a team of Data Analysts. 2.Build and maintain relationsh...,4-6 Yrs," Executive leadership, Data analysis, data science, big data analytics, Process improvement, Data collection, Consultancy, microsoft",https://www.naukri.com/job-listings-data-analytics-manager-seven-consultancy-hr-solution-mumbai-4-to-6-years-290322500312
441,Statistician- Big Data,Seven Consultancy (HR Solution),Hyderabad,"Must have exposure in Time Series, Python-Flask and deployment skills of deploying deve...",3-5 Yrs," Computer science, deep learning, data science, big data analytics, Machine learning, API Testing, power bi, Database Administrator",https://www.naukri.com/job-listings-statistician-big-data-seven-consultancy-hr-solution-hyderabad-secunderabad-3-to-5-years-280322502304
442,Data Analytics Manager,Seven Consultancy (HR Solution),Chennai,JOB DETAILS 1.Lead and develop a team of Data Analysts. 2.Build and maintain relationsh...,3-8 Yrs," Executive leadership, Data analysis, data science, big data analytics, Process improvement, Data collection, Consultancy, microsoft",https://www.naukri.com/job-listings-data-analytics-manager-seven-consultancy-hr-solution-chennai-3-to-8-years-280322501317
443,Big data Manager,Seven Consultancy (HR Solution),Mumbai,"Hands-on experience with the Hadoop stack HDFS, sqoop, kafka, Pulsar, NiFi, Spark, Spar...",4-9 Yrs," data services, data science, data security, big data analytics, cassandra, Consulting, Hadoop, Programming",https://www.naukri.com/job-listings-big-data-manager-seven-consultancy-hr-solution-mumbai-4-to-9-years-280322501278
444,Assoc Mgr-Data Analytics,Sutherland Global Services Inc,Hyderabad,Understand Data Science problem and provide solution: Discuss with end user and underst...,2-6 Yrs," MIS, machine learning, IT Skills, Data Science, Mining, Predictive modeling, Data analytics, Analytics",https://www.naukri.com/job-listings-assoc-mgr-data-analytics-sutherland-global-services-inc-hyderabad-secunderabad-2-to-6-years-210722500359
445,Lead Data Scientist,Freshworks,Hyderabad,"Apply knowledge of ML, statistics, and advanced mathematics to conceptualize, experimen...",5-10 Yrs," IT Skills, Python, Data Science, Machine Learning, Big Data, Backend, SAS, Perl",https://www.naukri.com/job-listings-lead-data-scientist-freshdesk-hyderabad-secunderabad-5-to-10-years-011122501352
446,Manager - Data Analytics,LOreal,Mumbai,"Masters in Statistics / biostatistics, Engineering / Masters in Data Sciences or equiva...",3-6 Yrs," Analytical skills, Statistical modeling, Statistical analysis, data science, Agronomy, Global Strategy, Data analytics, Doe",https://www.naukri.com/job-listings-manager-data-analytics-loreal-india-pvt-ltd-mumbai-3-to-6-years-311022502272
447,Data Scientist/ Engineer,GiveIndia Foundation,Remote,"Previous data engineering, data mining & analysis experience5 years of experience in Da...",5-10 Yrs," QA, Backend, Google Analytics, Web analytics, data science, Postgresql, MongoDB, Data mining",https://www.naukri.com/job-listings-data-scientist-engineer-giveindia-foundation-remote-5-to-10-years-171122500132
448,Data Scientist / Analyst - Delhi NCR,Benchire,Delhi NCR,Capability to clearly understand and articulate a data science problem and lead multipl...,3-8 Yrs," Banking, AI, Tableau, Statistics, SQL, Data Science, Analytics, pandas",https://www.naukri.com/job-listings-data-scientist-analyst-delhi-ncr-benchire-delhi-ncr-3-to-8-years-031122910785
449,Data Scientist/Analyst,Benchire,Delhi NCR,"Responsibilities:Evaluate key performance indicators, provide ongoing reports and recom...",5-10 Yrs," SQL, Banking, Python, Statistics, Financing, Statistical models, AI, Data Visualization",https://www.naukri.com/job-listings-data-scientist-analyst-benchire-delhi-ncr-5-to-10-years-031122910770
450,ESG Data Analyst,Institutional Shareholder Services,Mumbai,"Notebook, Matplotlib, is desirable but not required Experience with Data Mining and Dat...",3-4 Yrs," Data analysis, Interpersonal skills, Environmental science, data science, Business analytics, ISS, Data Analyst, MS Word",https://www.naukri.com/job-listings-esg-data-analyst-institutional-shareholder-services-inc-mumbai-3-to-4-years-161122501903
451,Data Analyst,Phonepe,Bangalore,3 years of data analytics experience in relevant roles,1-3 Yrs," Data modeling, Wellness, Data analytics, Medical insurance, QlikView, big data, Financial services, Travel insurance",https://www.naukri.com/job-listings-data-analyst-phonepe-bangalore-bengaluru-1-to-3-years-271022500004
452,PCN Data Analyst,Arrow Electronics,Bangalore,Collects detailed product specifications following the company business processes. Invo...,1-2 Yrs," Training, Compliance, Data collection, Manager Technology, Data analytics, Data Analyst, Risk management, Support Associate",https://www.naukri.com/job-listings-pcn-data-analyst-arrow-electronics-india-pvt-ltd-bangalore-bengaluru-1-to-2-years-251122500997
453,Data Analyst - Team Lead,Paytm,Multiple,Engineering from IIT or from tier-1 engineering collegeClosely work with Data warehouse...,3-5 Yrs," EDC, Marketing operations, Data analytics, Data warehousing, Analytics, Financial services, Product marketing, SQL",https://www.naukri.com/job-listings-data-analyst-team-lead-paytm-noida-bangalore-bengaluru-3-to-5-years-201022502980
454,Data and Analytics Analyst,IBM,Bangalore,"Good programming skills in Python, cloud-based ML solutions Shown intent to grow and le...",2-5 Yrs," Interpersonal skills, Cloud, Programming, Analytics, Python, Azure, AWS, GCP",https://www.naukri.com/job-listings-data-and-analytics-analyst-ibm-india-pvt-limited-bangalore-bengaluru-2-to-5-years-011122915043
455,Lead Data Analyst,Mobile Premier League (MPL),Bangalore,"Experience in creating, collecting, analysing and communicating business insights from ...",4-7 Yrs," Marketing analytics, Google Analytics, Machine learning, Hypothesis Testing, Data analytics, Predictive analytics, AWS, SQL",https://www.naukri.com/job-listings-lead-data-analyst-mobile-premier-league-bangalore-bengaluru-4-to-7-years-011122501022
456,PCN Data Analyst,Arrow Electronics,Bangalore,Collects detailed product specifications following the company business processes. Invo...,4-9 Yrs," Training, Compliance, Data collection, Manager Technology, Data Analyst, Data analytics, Risk management, Support Associate",https://www.naukri.com/job-listings-pcn-data-analyst-arrow-electronics-inc-bangalore-bengaluru-4-to-9-years-251122502363
457,Lead Business Analyst - SaaS Data & Analytics,VMware,Bangalore,"Support end-to-end Business Intelligence lifecycle development processes as needed, whi...",10-14 Yrs," IT Skills, Testing, Cloud, VMware, Automation, Data analysis, Prototype, TDD",https://www.naukri.com/job-listings-lead-business-analyst-saas-data-analytics-vmware-india-bangalore-bengaluru-10-to-14-years-211022500102
458,Data Analyst,Cargill,Bangalore,Bachelor s degree in a related field or equivalent experience Other minimum qualificati...,3-5 Yrs," Data analysis, Database design, Process improvement, Analytical, Risk assessment, Agile, corporate audit, Data Analyst",https://www.naukri.com/job-listings-data-analyst-cargill-india-pvt-ltd-bangalore-bengaluru-3-to-5-years-051122500039
459,Data Scientist / Sr. Data Engineer,Privaini Software India Pvt Ltd,Temp. WFH,"and data science libraries such as nltk, numpy, scipy and many others Must be able to i...",5-8 Yrs," Tensorflow, ALGORITHM, Machine Learning, Pytorch, Python, numpy, scipy, written",https://www.naukri.com/job-listings-data-scientist-sr-data-engineer-privaini-software-india-pvt-ltd-bangalore-bengaluru-5-to-8-years-031122012473
460,Senior Data Engineer- Chennai& Bangalore,Cavin Infotech,Multiple,• Exp in designing and implementing large scale data processing systems/products based ...,7-12 Yrs," Python, GCP, Azure, Java, SAP, AWS, Data Science, Elt",https://www.naukri.com/job-listings-senior-data-engineer-chennai-bangalore-cavin-infotech-chennai-bangalore-bengaluru-7-to-12-years-231122008908
461,Data Scientist,BOOKMYSHOW.COM,Multiple,"You are a keen learner, have an insatiable curiosity, and hands-on execution mindset Yo...",5-10 Yrs," deep learning, github, orchestration, data science, spark, Machine learning, Packaging, Scheduling",https://www.naukri.com/job-listings-data-scientist-bookmyshow-mumbai-bangalore-bengaluru-5-to-10-years-060822501041
462,Data Scientist,IDP India,Chennai,Freedom to enable a new platform with data using the best technology and play a leading...,1-2 Yrs," advanced analytics, data science, Coding, Data quality, Continuous improvement, SQL, CRM, Python",https://www.naukri.com/job-listings-data-scientist-idp-india-chennai-1-to-2-years-231122504611
463,Data Scientist For Social Good,CROPIN TECHNOLOGY SOLUTIONS,Bangalore,"Preferably PhD or at least Master s degree in Computer Science, Electrical Engineering,...",2-5 Yrs," machine learning, IT Skills, Data Science, Cloud, Big Data, Electrical engineering, deep learning, Prototype",https://www.naukri.com/job-listings-data-scientist-for-social-good-cropin-technology-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-170922500273
464,Data Scientist - AWS/Python/Big Data Tools,Intelizest Consulting,Chennai,5+ years of experience in working on risk-based marketing and digital analytics Prefera...,7-12 Yrs," Hive, HDFS, Shell script, IT Skills, Python, Machine Learning, Cloud, Big Data",https://www.naukri.com/job-listings-data-scientist-aws-python-big-data-tools-intelizest-consulting-chennai-7-to-12-years-211122907743
465,Avp/lead Manager/manager - Decision Sciences - BFSI,Serving Skill,Multiple,Decision Sciences (Bangalore)- AVP Job Description : Required Skills : - Open personali...,10-14 Yrs," Data Science, SAS, Data Management, Data Visualization, Data Warehousing, Tableau, Data Analytics, Statistics",https://www.naukri.com/job-listings-avp-lead-manager-manager-decision-sciences-bfsi-serving-skill-kolkata-bangalore-bengaluru-10-to-14-years-211122906368
466,Data Scientist - Machine Learning/APICS,CarbyneTech India,Hyderabad,Must have APICS CPIM Certification Manufacturing domain - predictive and online quality...,3-8 Yrs," Machine Learning, Data Science, R, APICS, NLP, Artificial Intelligence, Data Management, Python",https://www.naukri.com/job-listings-data-scientist-machine-learning-apics-carbynetech-india-hyderabad-secunderabad-3-to-8-years-211122904892
467,Data Scientist | Boutique AI and data consulting Co | Delhi,unnati,Delhi NCR,"Roles and Responsibilities To get transparent and quick status update, apply on:https:/...",2-7 Yrs," analytics, data science, R, Hadoop, Big Data, SQL, Apache Spark, Python",https://www.naukri.com/job-listings-data-scientist-boutique-ai-and-data-consulting-co-delhi-unnati-noida-new-delhi-gurgaon-gurugram-2-to-7-years-131022009302
468,Data Scientist,Financial Software Systems(FSS),Multiple,"Collaborate with domain experts, formulate questions, gather, process and analyze bigda...",2-3 Yrs," deep learning, data science, Data modeling, Bfsi, Machine learning, Agile, Data warehousing, Financial services",https://www.naukri.com/job-listings-data-scientist-financial-software-systems-pvt-ltd-kolkata-mumbai-chennai-bangalore-bengaluru-2-to-3-years-060822500640
469,Data Scientist / Decision Scientist,Maruti Suzuki,Bangalore,Data Scientist Responsibilities: Architect a data based solution for the business probl...,2-6 Yrs," Cloud computing, data science, Neural networks, Machine learning, Programming, Telematics, data visualization, Automotive",https://www.naukri.com/job-listings-data-scientist-decision-scientist-maruti-suzuki-india-limited-bangalore-bengaluru-2-to-6-years-270722500042
470,AVP - Data Scientist,Transunion,Mumbai,Any Bachelor s/ Master s degree with relevant experience in analytics roleS / he should...,8-13 Yrs," Logistic regression, Automation, customer analytics, data science, Coding, Analytical, Machine learning, Analytics",https://www.naukri.com/job-listings-avp-data-scientist-transunion-software-services-pvt-ltd-mumbai-8-to-13-years-221122501325
471,Data Scientist - ADAS (Autonomous Vehicle),Talentpath Management Services,Hybrid,"Primary Responsibilities:Devise and Develop Strategy for advance, futuristic solutions....",9-14 Yrs," Data Science, Radar, Lidar, ADAS, Sensors, Stereo camera, machine learning, Computer Vision",https://www.naukri.com/job-listings-data-scientist-adas-autonomous-vehicle-talentpath-management-services-gurgaon-gurugram-9-to-14-years-181122009758
472,Data Scientist,Covacsis Technologies,Mumbai,Post graduate certification/ degree in data science Only who can join in 30 daysImmedia...,3-5 Yrs," data science, solution implementation, artificial intelligence, ML, AI",https://www.naukri.com/job-listings-data-scientist-covacsis-technologies-private-limited-mumbai-all-areas-3-to-5-years-181122006729
473,Data Engineer _AWS,Tiger Analytics,Multiple,"Design and build scalable data ingestion pipelines to handle real-time streams, CDC eve...",0-4 Yrs," big data analytics, Debugging, Data processing, AWS, Analytics, Monitoring",https://www.naukri.com/job-listings-data-engineer-aws-tiger-analytics-hyderabad-secunderabad-chennai-bangalore-bengaluru-0-to-4-years-270722501088
474,Data Engineer - BI,Tiger Analytics,Multiple,"Responsibilities Translate business needs to technical specifications Design, build and...",0-4 Yrs," Performance tuning, Business analysis, Analytical, power bi, Data analytics, Unit testing, Business intelligence, Troubleshooting",https://www.naukri.com/job-listings-data-engineer-bi-tiger-analytics-hyderabad-secunderabad-chennai-bangalore-bengaluru-0-to-4-years-270722501123
475,Data Analyst,Allegis Group,Hybrid,Good experience in automating the regular tasks using the VBA / Macro scripts7+ years e...,7-12 Yrs," JIRA, Data Automation, data analysis, Excel, vba, Dashboards, Data Analytics, Macros",https://www.naukri.com/job-listings-data-analyst-allegis-group-pune-7-to-12-years-281122001702
476,Data Operations Analyst,Eyeota,Pune,Eyeota is looking for a full-time intern to assist with a data clean up project within ...,0-2 Yrs," Usage, B2B, Operations Analyst, Excel, Intern, Data analytics, Analyst 2, Forecasting",https://www.naukri.com/job-listings-data-operations-analyst-eyeota-pune-0-to-2-years-250722500219
477,Data Analyst Advanced Analytics,Perceptive Analytics,Hyderabad,Expertise and strong experience in data gathering and analysisGood analytical and commu...,0-3 Yrs," Project R, Python, analytical, communication, Advance Excel, R, Data modelling, SQL",https://www.naukri.com/job-listings-data-analyst-advanced-analytics-perceptive-analytics-hyderabad-secunderabad-0-to-3-years-100622500775
478,Senior Data Scientist - R/Python,Career Infosystem,Chennai,"Team with strong pedagogy : from IIT, NIT, IIM and other leading institutes in India an...",4-8 Yrs," Python, R, data science, VBA, Data Analysts, solutioning design, SQL",https://www.naukri.com/job-listings-senior-data-scientist-r-python-career-infosystem-chennai-4-to-8-years-101122907946
479,Senior Data Scientist || Management Consulting Firm ||,BL Consultants ,Multiple,Designation : Senior Data Scientist Exp 6 10 Yrs (5 Yrs minimum in Data scientist is mu...,6-10 Yrs," python, VBA, R, SQL, analytical, Data Science, Algorithm Development, Data Structures",https://www.naukri.com/job-listings-senior-data-scientist-management-consulting-firm-bl-consultants-chennai-bangalore-bengaluru-6-to-10-years-141122010429
480,Senior Data Scientist Lead,Gcc Services,Bangalore,About AB InBevWe are the worlds leading brewer bringing people together for a better wo...,6-11 Yrs," python, tensorflow, neural networks, Predictive Modeling, deep learning, data science, Natural Language Processing, machine learning",https://www.naukri.com/job-listings-senior-data-scientist-lead-abinbev-gcc-services-private-limited-bangalore-bengaluru-6-to-11-years-091122909244
481,Senior Data Scientist,ABINBEV,Hybrid,AbInBev WHO WE ARE:We are AB InBev a company on a mission to create a Future with more ...,7-12 Yrs," data science, deep learning, tensorflow, NLP, Natural Language Processing, Pandas, pytorch, numpy",https://www.naukri.com/job-listings-senior-data-scientist-abinbev-bangalore-bengaluru-7-to-12-years-201022011720
482,Senior Data Scientist,Media Iq Digital,Bangalore,Product/DS Focus- Able to understand the product requirement and able to execute end to...,4-9 Yrs," data science, Machine learning, Business strategy, Data mining, Digital marketing, Stakeholder management, Analytics, SQL",https://www.naukri.com/job-listings-senior-data-scientist-miq-digital-bangalore-bengaluru-4-to-9-years-161122500299
483,Senior Data Scientist - Celonis,Gcc Services,Bangalore,"Problem solver approach, must be able to systematically identify root cause and define ...",3-6 Yrs," python, Data Scientist, data engineering, analytics, sql development, data science, sap finance, process mining",https://www.naukri.com/job-listings-senior-data-scientist-celonis-abinbev-gcc-services-private-limited-bangalore-bengaluru-3-to-6-years-160922907701
484,Python Developer,Pegasus Knowledge Solutions (PKSI),Bangalore,"* Expert in Python, with knowledge of at least one popular Python framework (like Djang...",3-7 Yrs," Python Development, Python, HTML5, object - relational mapping ( ORM, Pyramid, Django, Flask, JavaScript",https://www.naukri.com/job-listings-python-developer-pegasus-knowledge-solutions-pksi-bangalore-bengaluru-3-to-7-years-090822003431
485,Sr. Data Scientist,Selective Global Search Pvt. Ltd.  ,Bangalore,Job Location :- Bangalore (Work From Office Only) Note :- Minimum 2 Years stability req...,5-10 Yrs," Data Science, r, python, Artificial Intelligence, Machine Learning, Deep Learning, sql",https://www.naukri.com/job-listings-sr-data-scientist-selective-global-search-pvt-ltd-bangalore-bengaluru-5-to-10-years-300722001280
